k,v,n,g,m,e,x,c,u
法律,法律,內政部警政署國家公園警察大隊組織條例,廢止法規＞內政部,2015-12-16,,廢,12,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0000053
法律,法律,內政部警政署航空警察局組織條例,廢止法規＞內政部,2015-12-16,,廢,16,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0000059
法律,法律,內政部役政署組織條例,廢止法規＞內政部,2015-12-16,,廢,14,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0000065
法律,法律,內政部警政署刑事警察局組織條例,廢止法規＞內政部,2015-12-16,,廢,12,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0000068
法律,法律,國家風景區管理處組織通則,行政＞交通部＞組織目,2000-06-14,,,15,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=K0000084
法律,法律,內政部消防署組織條例,行政＞內政部＞組織目,2005-06-22,,,18,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0000069
法律,法律,內政部消防署港務消防隊組織通則,行政＞內政部＞組織目,2001-11-12,,,10,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0000070
法律,法律,內政部建築研究所組織條例,廢止法規＞內政部,2015-12-16,,廢,11,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0000071
法律,法律,內政部警政署鐵路警察局組織條例,廢止法規＞內政部,2015-12-16,,廢,14,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0000103
法律,法律,內政部警政署臺灣保安警察總隊組織條例,廢止法規＞內政部,2015-12-16,,廢,12,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0000104
法律,法律,內政部警政署警察電訊所組織條例,廢止法規＞內政部,2015-12-16,,廢,12,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0000105
法律,法律,內政部警政署港務警察局組織通則,廢止法規＞內政部,2015-12-16,,廢,13,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0000106
法律,法律,內政部警政署警察廣播電臺組織條例,廢止法規＞內政部,2015-12-16,,廢,12,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0000107
法律,法律,內政部警政署民防防情指揮管制所組織條例,廢止法規＞內政部,2015-12-16,,廢,12,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0000108
法律,法律,內政部警政署警察機械修理廠組織條例,廢止法規＞內政部,2015-12-16,,廢,10,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0000109
法律,法律,國民大會代表選舉罷免法,廢止法規＞內政部,2003-06-11,,廢,54,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020001
法律,法律,國民大會代表選舉罷免法施行條例,廢止法規＞內政部,2003-06-11,,廢,78,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020002
