y,m,n,g,k,u
15.9,2010-11-17,地下水鑿井業申請許可收費標準,行政＞經濟部＞水利目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0110051
15.9,2010-11-17,自來水管承裝商申請許可收費標準,行政＞經濟部＞水利目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0110067
15.9,2010-10-29,建築物電信設備及其空間規費收費標準,行政＞國家通訊傳播委員會＞收費標準目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=K0060074
15.8,2010-12-10,非都市土地開發許可審查收費標準,行政＞內政部＞國土管理目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070052
15.6,2011-02-15,人體生物資料庫審查費收費標準,行政＞衛生福利部＞醫事目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=L0020174
15.3,2011-05-24,土壤污染評估調查及檢測資料審查收費標準,行政＞環境部＞環境管理目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0110015
15.0,2011-09-16,技師證書及執業執照收費標準,行政＞行政院公共工程委員會＞通用目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0030089
14.9,2011-11-16,外交部及駐外館處辦理領事事務文件證明收費標準,行政＞外交部＞領事業務目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=E0030010
14.9,2011-10-19,一般性海堤使用行為規費收費標準,行政＞經濟部＞水利目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0110087
14.8,2011-12-22,申請工廠設立許可及登記事項收費標準,行政＞經濟部＞產業目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0030044
14.5,2012-03-30,經濟部提供統計資訊收費標準,行政＞經濟部＞處務目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0010048
14.5,2012-04-10,綠色工廠標章收費標準,行政＞經濟部＞產業目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0030123
14.3,2012-06-08,生前殯葬服務契約預收費用運用於殯儀館火化場認定管理辦法,行政＞內政部＞宗教及禮制目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020071
14.1,2012-08-03,採購履約爭議調解收費辦法,行政＞行政院公共工程委員會＞通用目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030109
14.0,2012-09-11,臺灣製產品 MIT 微笑標章審查及發證收費標準,行政＞經濟部＞產業目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0030125
13.9,2012-10-15,法院辦理強制執行程序必要費用徵收標準,司法＞院本部＞民事目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010044
13.8,2012-12-03,技能職類測驗能力認證審查費收費辦法,行政＞勞動部＞職業訓練目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=N0080046
13.7,2013-01-16,酒品及酒盛裝容器出口證明收費標準,行政＞財政部＞國庫目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=G0330032
13.5,2013-03-25,商港自由貿易港區收費標準,行政＞交通部＞港務目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=K0080038
13.4,2013-05-15,臺灣警察專科學校招生考試規費收費標準,行政＞內政部＞警政目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080189
13.4,2013-04-25,玉山國家公園管理處排雲山莊使用規費收費標準,行政＞內政部＞國家公園目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070194
13.4,2013-04-30,國立臺灣工藝研究發展中心藏品圖像使用收費辦法,行政＞文化部＞建設目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=H0170091
13.1,2013-08-02,醫院評鑑及教學醫院評鑑收費標準,行政＞衛生福利部＞醫事目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=L0020128
13.0,2013-09-17,人體器官保存庫審查費收費標準,行政＞衛生福利部＞食品藥物管理目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=L0020152
13.0,2013-09-17,天然氣供應及價格管制實施辦法,行政＞經濟部＞能源目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0130054
12.9,2013-10-24,屍體解剖喪葬費用補助標準,行政＞衛生福利部＞疾病管制目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=L0050019
12.9,2013-11-04,公眾電信規費收費標準,行政＞國家通訊傳播委員會＞收費標準目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=K0060073
12.8,2013-12-04,衛生福利部國民健康署提供統計資訊收費標準,行政＞衛生福利部＞國民健康目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=L0070035
12.8,2013-12-06,在中華民國大陸礁層舖設維護變更海底電纜或管道審查收費標準,行政＞內政部＞地政目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0060121
12.6,2014-02-19,公平交易委員會提供政府資訊收費標準,行政＞公平交易委員會＞公平交易目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0150010
12.3,2014-06-26,總統府及所屬機關訴願文書使用收費標準,總統＞總統府＞訴願審議目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0020037
12.3,2014-06-18,國軍退除役官兵輔導委員會及所屬機構提供政府資訊收費標準,行政＞國軍退除役官兵輔導委員會＞處務目       ,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=F0150022
12.3,2014-06-17,管制藥品證照與輸入輸出及製造同意書審查費收費標準,行政＞衛生福利部＞食品藥物管理目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=L0030077
12.2,2014-07-23,行政院公共工程委員會工程技術鑑定規費收費標準,行政＞行政院公共工程委員會＞通用目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070211
12.0,2014-10-13,國軍退除役官兵輔導委員會榮譽國民之家資源共享服務照顧規費收費標準,行政＞國軍退除役官兵輔導委員會＞就養目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=F0150030
12.0,2014-10-08,玉山國家公園管理處建築執照規費收費標準,行政＞內政部＞國家公園目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070212
11.9,2014-11-11,大陸地區人民及香港澳門居民入出境許可證件規費收費標準,行政＞內政部＞移民目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=Q0020011
11.9,2014-10-24,糧商登記規費收費標準,行政＞農業部＞農糧目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=M0030083
11.9,2014-11-13,國定古蹟嘉義舊監獄園區場地使用收費標準,行政＞法務部＞矯正目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=I0040062
11.8,2014-11-27,勞動部及所屬機關提供政府資訊收費標準,行政＞勞動部＞其他目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=N0010012
11.8,2014-12-26,專科以上學校向學生收取費用辦法,行政＞教育部＞高等教育目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=H0030044
11.8,2014-12-23,國際級及國家級重要濕地經營管理許可收費回饋金繳交運用辦法,行政＞內政部＞國家公園目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070214
11.7,2014-12-29,菸酒業審查費證照費及許可費收費標準,行政＞財政部＞國庫目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=G0330015
11.5,2015-03-10,法務部核發法醫師證書執業執照及審查收費標準,行政＞法務部＞法醫目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=I0010061
11.5,2015-03-18,綠建材性能試驗機構申請指定收費標準,行政＞內政部＞建築研究目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070223
11.4,2015-05-05,自來水管承裝技工考驗合格證書收費標準,行政＞經濟部＞水利目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0110066
11.4,2015-04-17,自來水事業技術人員考驗合格證書收費標準,行政＞經濟部＞水利目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0110075
11.4,2015-05-06,台江國家公園管理處建築執照規費收費標準,行政＞內政部＞國家公園目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070224
